ID,V_ID,VERSION,AGE,GENDER,EDUC,FREQ,QUESTION,DIALOG,CAT,COND,DIMEN,RATING,TEXT
1,1,A,31,Female,MA/PhD,3,1,13,0,F,1,6,
1,1,A,31,Female,MA/PhD,3,1,13,0,F,2,7,
1,1,A,31,Female,MA/PhD,3,1,13,0,F,3,3,
1,1,A,31,Female,MA/PhD,3,1,13,0,F,4,7,
1,1,A,31,Female,MA/PhD,3,1,13,0,F,5,2,
1,1,A,31,Female,MA/PhD,3,1,13,0,F,6,1,
1,1,A,31,Female,MA/PhD,3,1,13,0,F,7,7,
1,1,A,31,Female,MA/PhD,3,1,13,0,F,8,7,
1,1,A,31,Female,MA/PhD,3,1,13,0,F,9,0,Speaker B means they can not change the situation and can only be patient
1,1,A,31,Female,MA/PhD,3,2,1,1,T,1,6,
1,1,A,31,Female,MA/PhD,3,2,1,1,T,2,4,
1,1,A,31,Female,MA/PhD,3,2,1,1,T,3,4,
1,1,A,31,Female,MA/PhD,3,2,1,1,T,4,5,
1,1,A,31,Female,MA/PhD,3,2,1,1,T,5,1,
1,1,A,31,Female,MA/PhD,3,2,1,1,T,6,1,
1,1,A,31,Female,MA/PhD,3,2,1,1,T,7,5,
1,1,A,31,Female,MA/PhD,3,2,1,1,T,8,6,
1,1,A,31,Female,MA/PhD,3,2,1,1,T,9,0,They mean that war involves the events to which they refer
1,1,A,31,Female,MA/PhD,3,3,4,1,NT,1,5,
1,1,A,31,Female,MA/PhD,3,3,4,1,NT,2,6,
1,1,A,31,Female,MA/PhD,3,3,4,1,NT,3,1,
1,1,A,31,Female,MA/PhD,3,3,4,1,NT,4,1,
1,1,A,31,Female,MA/PhD,3,3,4,1,NT,5,4,
1,1,A,31,Female,MA/PhD,3,3,4,1,NT,6,4,
1,1,A,31,Female,MA/PhD,3,3,4,1,NT,7,7,
1,1,A,31,Female,MA/PhD,3,3,4,1,NT,8,7,
1,1,A,31,Female,MA/PhD,3,3,4,1,NT,9,0,They mean the time given was not enough to complete a task
1,1,A,31,Female,MA/PhD,3,4,6,2,NT,1,5,
1,1,A,31,Female,MA/PhD,3,4,6,2,NT,2,4,
1,1,A,31,Female,MA/PhD,3,4,6,2,NT,3,7,
1,1,A,31,Female,MA/PhD,3,4,6,2,NT,4,6,
1,1,A,31,Female,MA/PhD,3,4,6,2,NT,5,1,
1,1,A,31,Female,MA/PhD,3,4,6,2,NT,6,1,
1,1,A,31,Female,MA/PhD,3,4,6,2,NT,7,7,
1,1,A,31,Female,MA/PhD,3,4,6,2,NT,8,7,
1,1,A,31,Female,MA/PhD,3,4,6,2,NT,9,0,They mean that some children (but not all) are loud and messy and they have to be understanding
1,1,A,31,Female,MA/PhD,3,5,9,3,T,1,5,
1,1,A,31,Female,MA/PhD,3,5,9,3,T,2,6,
1,1,A,31,Female,MA/PhD,3,5,9,3,T,3,1,
1,1,A,31,Female,MA/PhD,3,5,9,3,T,4,1,
1,1,A,31,Female,MA/PhD,3,5,9,3,T,5,7,
1,1,A,31,Female,MA/PhD,3,5,9,3,T,6,7,
1,1,A,31,Female,MA/PhD,3,5,9,3,T,7,7,
1,1,A,31,Female,MA/PhD,3,5,9,3,T,8,7,
1,1,A,31,Female,MA/PhD,3,5,9,3,T,9,0,B wants A to to keep a promise they made previously because that's the expected behavior
1,1,A,31,Female,MA/PhD,3,6,14,0,F,1,4,
1,1,A,31,Female,MA/PhD,3,6,14,0,F,2,6,
1,1,A,31,Female,MA/PhD,3,6,14,0,F,3,1,
1,1,A,31,Female,MA/PhD,3,6,14,0,F,4,1,
1,1,A,31,Female,MA/PhD,3,6,14,0,F,5,1,
1,1,A,31,Female,MA/PhD,3,6,14,0,F,6,3,
1,1,A,31,Female,MA/PhD,3,6,14,0,F,7,7,
1,1,A,31,Female,MA/PhD,3,6,14,0,F,8,7,
1,1,A,31,Female,MA/PhD,3,6,14,0,F,9,0,B means A is facing a more complicated situation than others they have experienced
1,1,A,31,Female,MA/PhD,3,7,11,3,T,1,7,
1,1,A,31,Female,MA/PhD,3,7,11,3,T,2,7,
1,1,A,31,Female,MA/PhD,3,7,11,3,T,3,1,
